Split,Arm,Method,BudgetK,MetricName,Numerator,Denominator,ExactFractionOrFormula,DecimalValue,ReportedPercentageOrScore
held_out,B0,R0,3,Recall@K,12,12,12/12,1.0,100.0%
held_out,B0,R0,3,HN Presence Rate,9,12,9/12,0.75,75.0%
held_out,B0,R0,3,Mean First Target Rank,14,12,14/12,1.1666666666666667,1.17
held_out,B0,R0,3,Final Accepted Target Recall,9.875,12,9.8750/12,0.8229166666666666,82.3%
held_out,B0,R0,3,Adjudication Precision,11.0,12,11.0000/12,0.9166666666666666,91.7%
held_out,B0,R0,3,Mean Candidate Tokens,1514,12,1514/12,126.16666666666667,126.2
held_out,B0,R0,3,Mean Prompt Tokens,6790,12,6790/12,565.8333333333334,565.8
held_out,B0,R0,5,Recall@K,12,12,12/12,1.0,100.0%
held_out,B0,R0,5,HN Presence Rate,9,12,9/12,0.75,75.0%
held_out,B0,R0,5,Mean First Target Rank,14,12,14/12,1.1666666666666667,1.17
held_out,B0,R0,5,Final Accepted Target Recall,10.625,12,85/96 (10*1.0 + 0 + 5/8)/12,0.8854166666666666,88.5%
held_out,B0,R0,5,Adjudication Precision,11.0,12,11.0000/12,0.9166666666666666,91.7%
held_out,B0,R0,5,Mean Candidate Tokens,2482,12,2482/12,206.83333333333334,206.8
held_out,B0,R0,5,Mean Prompt Tokens,9707,12,9707/12,808.9166666666666,808.9
held_out,B0,R0,8,Recall@K,12,12,12/12,1.0,100.0%
held_out,B0,R0,8,HN Presence Rate,11,12,11/12,0.9166666666666666,91.7%
held_out,B0,R0,8,Mean First Target Rank,14,12,14/12,1.1666666666666667,1.17
held_out,B0,R0,8,Final Accepted Target Recall,10.625,12,10.6250/12,0.8854166666666666,88.5%
held_out,B0,R0,8,Adjudication Precision,10.5,12,10.5000/12,0.875,87.5%
held_out,B0,R0,8,Mean Candidate Tokens,3982,12,3982/12,331.8333333333333,331.8
held_out,B0,R0,8,Mean Prompt Tokens,12252,12,12252/12,1021.0,1021.0
held_out,B0,R2,3,Recall@K,12,12,12/12,1.0,100.0%
held_out,B0,R2,3,HN Presence Rate,9,12,9/12,0.75,75.0%
held_out,B0,R2,3,Mean First Target Rank,13,12,13/12,1.0833333333333333,1.08
held_out,B0,R2,3,Final Accepted Target Recall,10.375,12,10.3750/12,0.8645833333333334,86.5%
held_out,B0,R2,3,Adjudication Precision,11.0,12,11.0000/12,0.9166666666666666,91.7%
held_out,B0,R2,3,Mean Candidate Tokens,1520,12,1520/12,126.66666666666667,126.7
held_out,B0,R2,3,Mean Prompt Tokens,6795,12,6795/12,566.25,566.2
held_out,B0,R2,5,Recall@K,12,12,12/12,1.0,100.0%
held_out,B0,R2,5,HN Presence Rate,9,12,9/12,0.75,75.0%
held_out,B0,R2,5,Mean First Target Rank,13,12,13/12,1.0833333333333333,1.08
held_out,B0,R2,5,Final Accepted Target Recall,10.625,12,85/96 (10*1.0 + 0 + 5/8)/12,0.8854166666666666,88.5%
held_out,B0,R2,5,Adjudication Precision,10.6667,12,10.6667/12,0.8888888888888888,88.9%
held_out,B0,R2,5,Mean Candidate Tokens,2487,12,2487/12,207.25,207.2
held_out,B0,R2,5,Mean Prompt Tokens,9716,12,9716/12,809.6666666666666,809.7
held_out,B0,R2,8,Recall@K,12,12,12/12,1.0,100.0%
held_out,B0,R2,8,HN Presence Rate,11,12,11/12,0.9166666666666666,91.7%
held_out,B0,R2,8,Mean First Target Rank,13,12,13/12,1.0833333333333333,1.08
held_out,B0,R2,8,Final Accepted Target Recall,10.625,12,10.6250/12,0.8854166666666666,88.5%
held_out,B0,R2,8,Adjudication Precision,10.6667,12,10.6667/12,0.8888888888888888,88.9%
held_out,B0,R2,8,Mean Candidate Tokens,3727,12,3727/12,310.5833333333333,310.6
held_out,B0,R2,8,Mean Prompt Tokens,13595,12,13595/12,1132.9166666666667,1132.9
held_out,B1,R0,3,Recall@K,12,12,12/12,1.0,100.0%
held_out,B1,R0,3,HN Presence Rate,9,12,9/12,0.75,75.0%
held_out,B1,R0,3,Mean First Target Rank,14,12,14/12,1.1666666666666667,1.17
held_out,B1,R0,3,Final Accepted Target Recall,10.875,12,10.8750/12,0.90625,90.6%
held_out,B1,R0,3,Adjudication Precision,12.0,12,12.0000/12,1.0,100.0%
held_out,B1,R0,3,Mean Candidate Tokens,5237,12,5237/12,436.4166666666667,436.4
held_out,B1,R0,3,Mean Prompt Tokens,10044,12,10044/12,837.0,837.0
held_out,B1,R0,5,Recall@K,12,12,12/12,1.0,100.0%
held_out,B1,R0,5,HN Presence Rate,9,12,9/12,0.75,75.0%
held_out,B1,R0,5,Mean First Target Rank,14,12,14/12,1.1666666666666667,1.17
held_out,B1,R0,5,Final Accepted Target Recall,11.625,12,31/32 (11*1.0 + 5/8)/12,0.96875,96.9%
held_out,B1,R0,5,Adjudication Precision,12.0,12,12.0000/12,1.0,100.0%
held_out,B1,R0,5,Mean Candidate Tokens,8732,12,8732/12,727.6666666666666,727.7
held_out,B1,R0,5,Mean Prompt Tokens,14360,12,14360/12,1196.6666666666667,1196.7
held_out,B1,R0,8,Recall@K,12,12,12/12,1.0,100.0%
held_out,B1,R0,8,HN Presence Rate,11,12,11/12,0.9166666666666666,91.7%
held_out,B1,R0,8,Mean First Target Rank,14,12,14/12,1.1666666666666667,1.17
held_out,B1,R0,8,Final Accepted Target Recall,11.625,12,11.6250/12,0.96875,96.9%
held_out,B1,R0,8,Adjudication Precision,12.0,12,12.0000/12,1.0,100.0%
held_out,B1,R0,8,Mean Candidate Tokens,13095,12,13095/12,1091.25,1091.2
held_out,B1,R0,8,Mean Prompt Tokens,20098,12,20098/12,1674.8333333333333,1674.8
held_out,B1,R1,3,Recall@K,12,12,12/12,1.0,100.0%
held_out,B1,R1,3,HN Presence Rate,9,12,9/12,0.75,75.0%
held_out,B1,R1,3,Mean First Target Rank,14,12,14/12,1.1666666666666667,1.17
held_out,B1,R1,3,Final Accepted Target Recall,10.875,12,10.8750/12,0.90625,90.6%
held_out,B1,R1,3,Adjudication Precision,12.0,12,12.0000/12,1.0,100.0%
held_out,B1,R1,3,Mean Candidate Tokens,5251,12,5251/12,437.5833333333333,437.6
held_out,B1,R1,3,Mean Prompt Tokens,10069,12,10069/12,839.0833333333334,839.1
held_out,B1,R1,5,Recall@K,12,12,12/12,1.0,100.0%
held_out,B1,R1,5,HN Presence Rate,9,12,9/12,0.75,75.0%
held_out,B1,R1,5,Mean First Target Rank,14,12,14/12,1.1666666666666667,1.17
held_out,B1,R1,5,Final Accepted Target Recall,11.625,12,31/32 (11*1.0 + 5/8)/12,0.96875,96.9%
held_out,B1,R1,5,Adjudication Precision,12.0,12,12.0000/12,1.0,100.0%
held_out,B1,R1,5,Mean Candidate Tokens,8764,12,8764/12,730.3333333333334,730.3
held_out,B1,R1,5,Mean Prompt Tokens,14396,12,14396/12,1199.6666666666667,1199.7
held_out,B1,R1,8,Recall@K,12,12,12/12,1.0,100.0%
held_out,B1,R1,8,HN Presence Rate,11,12,11/12,0.9166666666666666,91.7%
held_out,B1,R1,8,Mean First Target Rank,14,12,14/12,1.1666666666666667,1.17
held_out,B1,R1,8,Final Accepted Target Recall,11.625,12,11.6250/12,0.96875,96.9%
held_out,B1,R1,8,Adjudication Precision,12.0,12,12.0000/12,1.0,100.0%
held_out,B1,R1,8,Mean Candidate Tokens,13143,12,13143/12,1095.25,1095.2
held_out,B1,R1,8,Mean Prompt Tokens,20148,12,20148/12,1679.0,1679.0
held_out,B1,R2,3,Recall@K,12,12,12/12,1.0,100.0%
held_out,B1,R2,3,HN Presence Rate,8,12,8/12,0.6666666666666666,66.7%
held_out,B1,R2,3,Mean First Target Rank,13,12,13/12,1.0833333333333333,1.08
held_out,B1,R2,3,Final Accepted Target Recall,11.375,12,11.3750/12,0.9479166666666666,94.8%
held_out,B1,R2,3,Adjudication Precision,12.0,12,12.0000/12,1.0,100.0%
held_out,B1,R2,3,Mean Candidate Tokens,5221,12,5221/12,435.0833333333333,435.1
held_out,B1,R2,3,Mean Prompt Tokens,10061,12,10061/12,838.4166666666666,838.4
held_out,B1,R2,5,Recall@K,12,12,12/12,1.0,100.0%
held_out,B1,R2,5,HN Presence Rate,9,12,9/12,0.75,75.0%
held_out,B1,R2,5,Mean First Target Rank,13,12,13/12,1.0833333333333333,1.08
held_out,B1,R2,5,Final Accepted Target Recall,11.625,12,31/32 (11*1.0 + 5/8)/12,0.96875,96.9%
held_out,B1,R2,5,Adjudication Precision,12.0,12,12.0000/12,1.0,100.0%
held_out,B1,R2,5,Mean Candidate Tokens,8722,12,8722/12,726.8333333333334,726.8
held_out,B1,R2,5,Mean Prompt Tokens,14384,12,14384/12,1198.6666666666667,1198.7
held_out,B1,R2,8,Recall@K,12,12,12/12,1.0,100.0%
held_out,B1,R2,8,HN Presence Rate,10,12,10/12,0.8333333333333334,83.3%
held_out,B1,R2,8,Mean First Target Rank,13,12,13/12,1.0833333333333333,1.08
held_out,B1,R2,8,Final Accepted Target Recall,11.625,12,11.6250/12,0.96875,96.9%
held_out,B1,R2,8,Adjudication Precision,12.0,12,12.0000/12,1.0,100.0%
held_out,B1,R2,8,Mean Candidate Tokens,13081,12,13081/12,1090.0833333333333,1090.1
held_out,B1,R2,8,Mean Prompt Tokens,20131,12,20131/12,1677.5833333333333,1677.6
held_out,B1,R3,3,Recall@K,12,12,12/12,1.0,100.0%
held_out,B1,R3,3,HN Presence Rate,9,12,9/12,0.75,75.0%
held_out,B1,R3,3,Mean First Target Rank,14,12,14/12,1.1666666666666667,1.17
held_out,B1,R3,3,Final Accepted Target Recall,10.875,12,10.8750/12,0.90625,90.6%
